id,C/semester,total sessions,sess/popday,Number of Blocks,Block/pday,Avergae Block size,Norm Block,Early Sessions,Late/day,Combined Score,Rating,Score based Rating,Avg Break,Table,raw_score
0,0.7142857142857143,0.8235294117647058,0.7857142857142856,1.0,1.0,0.2066666667195555,0.25,0.8,0.6250000000468751,0.9244804834253197,0,1,0.34285714285714286,ISMS_21_1_100,-0.1257857143408851
1,0.8571428571428571,0.8235294117647058,0.7857142857142856,0.8571428571428571,0.8,0.32592592617827154,0.25,1.0,0.374999999953125,0.7599470263479965,0,1,0.5,ISMS_21_1_200,-0.17405555568352538
2,0.42857142857142855,0.4117647058823529,0.5714285714285714,0.42857142857142855,0.5,0.37777777797481477,0.25,0.6,0.374999999953125,0.5801120036414789,0,0,0.8571428571428571,ISMS_21_1_300,-0.394880952475737
3,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.14285714285714285,0.0,0.5333333333644444,0.25,0.2,0.74999999990625,0.346696644793805,1,0,0.0,ISMS_21_1_400_12,-0.7399999999717917
4,0.14285714285714285,0.17647058823529413,0.0,0.2857142857142857,0.0,0.2533333333831111,0.0625,0.2,0.0,0.8805726059183641,1,1,0.0,ISMS_21_1_400_23,-0.10075000002986666
5,0.14285714285714285,0.17647058823529413,0.0,0.2857142857142857,0.0,0.2533333333831111,0.0625,0.2,0.74999999990625,0.6070689086352814,1,1,0.0,ISMS_21_1_400_31,-0.47574999998299167
6,0.2857142857142857,0.29411764705882354,0.14285714285714282,0.2857142857142857,0.0,0.44000000003733325,0.25,0.2,0.74999999990625,0.41928774374964256,1,0,0.0,ISMS_21_1_400_321,-0.6439999999755249
7,1.0,1.0,1.0,1.0,1.0,0.3466666667102223,0.25,0.4,0.6562499999179687,0.7452374987833016,1,1,0.34285714285714286,ISMS_21_2_100,-0.20541071427083196
8,0.8571428571428571,0.8235294117647058,0.7857142857142856,0.42857142857142855,0.19999999999999996,0.9222222220718519,0.25,1.0,0.374999999953125,0.157107252789713,0,0,0.38095238095238093,ISMS_22_1_200,-0.7479285713149116
9,0.5714285714285714,0.5294117647058824,0.75,0.2857142857142857,0.25,0.8133333333457778,1.0,0.4,0.4999999998125,0.03946005873296177,0,0,0.2857142857142857,ISMS_22_1_300,-0.9615714284851453
10,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.25,0.2,0.374999999953125,0.7018346837422251,1,1,0.2857142857142857,ISMS_22_1_400_12,-0.32807142857785776
11,0.14285714285714285,0.17647058823529413,0.5714285714285714,0.14285714285714285,0.3333333329999999,0.5333333333644444,0.25,0.2,0.5624999999296876,0.43018039235119765,1,0,0.2857142857142857,ISMS_22_1_400_13,-0.614821428614939
12,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.25,0.4,0.374999999953125,0.6945412518137646,1,1,0.2857142857142857,ISMS_22_1_400_14,-0.33807142857785777
13,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.25,0.2,0.5624999999296876,0.6334587594214545,1,1,0.2857142857142857,ISMS_22_1_400_23,-0.421821428566139
14,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.25,0.4,0.374999999953125,0.6945412518137646,1,1,0.2857142857142857,ISMS_22_1_400_24,-0.33807142857785777
15,0.2857142857142857,0.29411764705882354,0.39285714285714285,0.2857142857142857,0.25,0.44000000003733325,0.25,0.2,0.5624999999296876,0.49183134345810486,1,0,0.2857142857142857,ISMS_22_1_400_321,-0.5338214285586723
16,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.25,0.4,0.5624999999296876,0.6261653274929938,1,1,0.2857142857142857,ISMS_22_1_400_34,-0.43182142856613903
17,0.2857142857142857,0.29411764705882354,0.14285714285714282,0.42857142857142855,0.19999999999999996,0.2222222221185186,0.25,0.4,0.374999999953125,0.7333394495709553,1,1,0.2857142857142857,ISMS_22_1_400_421,-0.28840476181910224
18,0.2857142857142857,0.29411764705882354,0.39285714285714285,0.2857142857142857,0.25,0.44000000003733325,0.25,0.4,0.5624999999296876,0.4845379115296443,1,0,0.2857142857142857,ISMS_22_1_400_431,-0.5438214285586723
19,0.2857142857142857,0.29411764705882354,0.14285714285714282,0.42857142857142855,0.19999999999999996,0.2222222221185186,0.25,0.4,0.5624999999296876,0.6649635252501847,1,1,0.2857142857142857,ISMS_22_1_400_432,-0.3821547618073835
20,1.0,1.0,1.0,0.8571428571428571,0.8,0.4814814815679012,0.25,0.4,0.6250000000468751,0.585423065804163,0,0,0.2857142857142857,ISMS_22_2_100,-0.34096031753560674
21,0.7142857142857143,0.8235294117647058,0.7857142857142856,0.7142857142857143,0.6000000000000001,0.47500000003500004,0.5625,0.4,1.0,0.37780845644455424,0,0,0.2857142857142857,ISMS_22_2_200,-0.6943214285924284
22,0.8571428571428571,0.7647058823529411,0.7142857142857144,1.0,1.0,0.16000000005600012,0.25,0.8,0.6250000000468751,0.8810998857856022,1,1,0.34285714285714286,ISMS_22_2_300,-0.0977857143427519
23,0.14285714285714285,0.17647058823529413,0.5714285714285714,0.14285714285714285,0.3333333329999999,0.5333333333644444,0.25,0.2,0.74999999990625,0.36180446803042704,1,0,0.2857142857142857,ISMS_22_2_400_12,-0.7085714286032202
