index,Code,Courses,Units
0,ISM 202,Media Production Processes ,3
1,ISM 209,Web-Based Technologies & Multimedia,3
2,ISM 211, Introduction to DataBase System,3
3,ISM 201,"Introduction to Audio, Video & Graphics Editing Packages",2
4,ISM 205,Freehand Sketches,2
5,ISM 207,Digital Colour Technology,2
6,ISM 213,Culture and Critical Analysis,2
7,GST 201,Communication in English III,2
8,GST 202,Philosophical Anthropology,2
9,ENT 201,Entrepreneurship I,2
