id,C/semester,total sessions,sess/popday,Number of Blocks,Block/pday,Avergae Block size,Norm Block,Early Sessions,Late/day,Combined Score,Rating,Score based Rating,Avg Break,Table,pen,bonus,Name,guess,raw_score
0,0.7142857142857143,0.8235294117647058,0.7857142857142856,1.0,1.0,0.2066666667195555,0.25,0.8,0.6250000000468751,0.9093538215535697,0,1,0.34285714285714286,ISMS_21_1_100,-0.14919642857142854,0.024705882352941175,ISMS_21_1_100,Bad,0.9254254495046907
1,0.8571428571428571,0.8235294117647058,0.7857142857142856,0.8571428571428571,0.8,0.32592592617827154,0.25,1.0,0.374999999953125,0.6855676462494471,0,1,0.5,ISMS_21_1_200,0.028124999999999997,0.024705882352941175,ISMS_21_1_200,Bad,0.7747307143447038
2,0.42857142857142855,0.4117647058823529,0.5714285714285714,0.42857142857142855,0.5,0.37777777797481477,0.25,0.6,0.374999999953125,0.5355219221645358,0,0,0.8571428571428571,ISMS_21_1_300,0.04151785714285714,0.012352941176470587,ISMS_21_1_300,Bad,0.5663536528208647
3,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.14285714285714285,0.0,0.5333333333644444,0.25,0.2,0.74999999990625,0.4002113345443705,1,0,0.0,ISMS_21_1_400_12,0.009375,0.005294117647058823,ISMS_21_1_400_12,Good,0.3227791229257388
4,0.14285714285714285,0.17647058823529413,0.0,0.2857142857142857,0.0,0.2533333333831111,0.0625,0.2,0.0,0.7820935691069749,1,1,0.0,ISMS_21_1_400_23,-0.0833705357142857,0.005294117647058823,ISMS_21_1_400_23,Good,0.821753654342284
5,0.14285714285714285,0.17647058823529413,0.0,0.2857142857142857,0.0,0.2533333333831111,0.0625,0.2,0.74999999990625,0.6459004602506637,1,1,0.0,ISMS_21_1_400_31,-0.0833705357142857,0.005294117647058823,ISMS_21_1_400_31,Good,0.6056850062212872
6,0.2857142857142857,0.29411764705882354,0.14285714285714282,0.2857142857142857,0.0,0.44000000003733325,0.25,0.2,0.74999999990625,0.4725058412753633,1,0,0.0,ISMS_21_1_400_321,0.009375,0.008823529411764706,ISMS_21_1_400_321,Good,0.43340627077321525
7,1.0,1.0,1.0,1.0,1.0,0.3466666667102223,0.25,0.4,0.6562499999179687,0.765572429434322,1,1,0.34285714285714286,ISMS_21_2_100,0.022232142857142857,0.03,ISMS_21_2_100,Good-N,0.8887658022458359
8,0.8571428571428571,0.8235294117647058,0.7857142857142856,0.42857142857142855,0.19999999999999996,0.9222222220718519,0.25,1.0,0.374999999953125,0.08519095139139413,0,0,0.38095238095238093,ISMS_22_1_200,0.2808035714285714,0.024705882352941175,ISMS_22_1_200,Bad,0.1134188919655421
9,0.5714285714285714,0.5294117647058824,0.75,0.2857142857142857,0.25,0.8133333333457778,1.0,0.4,0.4999999998125,0.08878232929256537,0,0,0.2857142857142857,ISMS_22_1_300,0.2196428571428571,0.01588235294117647,ISMS_22_1_300,Bad,0.05880496882826195
10,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.25,0.2,0.374999999953125,0.6858017984489705,1,1,0.2857142857142857,ISMS_22_1_400_12,-0.06562499999999999,0.005294117647058823,ISMS_22_1_400_12,Good-N,0.6894373298232479
11,0.14285714285714285,0.17647058823529413,0.5714285714285714,0.14285714285714285,0.3333333329999999,0.5333333333644444,0.25,0.2,0.5624999999296876,0.4493057075523016,1,0,0.2857142857142857,ISMS_22_1_400_13,0.020089285714285712,0.005294117647058823,ISMS_22_1_400_13,Good-N,0.41301350590974967
12,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.25,0.4,0.374999999953125,0.6640109010292369,1,1,0.2857142857142857,ISMS_22_1_400_14,-0.06562499999999999,0.005294117647058823,ISMS_22_1_400_14,Good-N,0.654866346119567
13,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.25,0.2,0.5624999999296876,0.6517535212348927,1,1,0.2857142857142857,ISMS_22_1_400_23,-0.06562499999999999,0.005294117647058823,ISMS_22_1_400_23,Good-N,0.6354201677929987
14,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.25,0.4,0.374999999953125,0.6640109010292369,1,1,0.2857142857142857,ISMS_22_1_400_24,-0.06562499999999999,0.005294117647058823,ISMS_22_1_400_24,Good-N,0.654866346119567
15,0.2857142857142857,0.29411764705882354,0.39285714285714285,0.2857142857142857,0.25,0.44000000003733325,0.25,0.2,0.5624999999296876,0.5107047656170095,1,0,0.2857142857142857,ISMS_22_1_400_321,0.020089285714285712,0.008823529411764706,ISMS_22_1_400_321,Good-N,0.5063551619745279
16,0.14285714285714285,0.17647058823529413,0.2142857142857143,0.2857142857142857,0.25,0.2533333333831111,0.25,0.4,0.5624999999296876,0.6299626238151591,1,1,0.2857142857142857,ISMS_22_1_400_34,-0.06562499999999999,0.005294117647058823,ISMS_22_1_400_34,Good-N,0.6008491840893179
17,0.2857142857142857,0.29411764705882354,0.14285714285714282,0.42857142857142855,0.19999999999999996,0.2222222221185186,0.25,0.4,0.374999999953125,0.7026505773704649,1,1,0.2857142857142857,ISMS_22_1_400_421,-0.06562499999999999,0.008823529411764706,ISMS_22_1_400_421,Good-N,0.7121005303573366
